item_idx,chinese,pinyin,syllables,ref_audio,audio_recording,timestamp
6,人,rén,1,05_人_2.wav,SKIPPED,2026-02-11 16:04:38
1,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-11 17:15:17
2,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-11 17:15:37
3,白,bái,1,06_白_2.wav,SKIPPED,2026-02-11 17:15:51
4,人,rén,1,05_人_2.wav,SKIPPED,2026-02-11 17:16:07
5,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-11 17:16:23
6,面包,miànbāo,2,08_面包_41.wav,SKIPPED,2026-02-11 17:16:40
1,学,xué,1,04_学_2.wav,SKIPPED,2026-02-13 10:50:07
2,牛奶,niúnǎi,2,04_牛奶_23.wav,SKIPPED,2026-02-13 10:50:55
3,人,rén,1,05_人_2.wav,SKIPPED,2026-02-13 10:51:27
4,白,bái,1,06_白_2.wav,SKIPPED,2026-02-13 10:51:58
5,面包,miànbāo,2,08_面包_41.wav,SKIPPED,2026-02-13 10:52:45
6,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-13 10:53:24
1,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-13 11:43:57
2,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-13 11:44:16
3,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-13 11:44:32
4,学,xué,1,04_学_2.wav,SKIPPED,2026-02-13 11:44:56
5,狗,gǒu,1,09_狗_3.wav,SKIPPED,2026-02-13 11:45:12
6,车,chē,1,03_车_1.wav,SKIPPED,2026-02-13 11:45:32
