item_idx,chinese,pinyin,syllables,ref_audio,user_recording,timestamp
1,商店,shāngdiàn,2,02_商店_14.wav,rec_商店_20260116_225931.wav,2026-01-16 22:59:31
1,老师,lǎoshī,2,06_老师_31.wav,rec_老师_20260116_230318.wav,2026-01-16 23:03:18
1,面包,miànbāo,2,08_面包_41.wav,rec_面包_20260116_230740.wav,2026-01-16 23:07:40
